Date,Matchup,Market,Selection,Odds,Edge,Units,FairPriceAtBet,Closing_Line_Pinnacle,Result
2026-03-08,Detroit Pistons @ Miami Heat,MODEL_NBA_REST,Miami Heat,+114,5.00%,1.00,MODEL,+100,
2026-03-08,Minnesota @ Colorado,MODEL_NHL,Colorado,-163,51.00%,1.00,MODEL,,
2026-03-08,Chicago @ Dallas,MODEL_NHL,Dallas,-250,81.00%,1.00,MODEL,,
2026-03-08,St. Louis @ Anaheim,MODEL_NHL,Anaheim,-169,44.00%,1.00,MODEL,,
2026-03-08,Detroit Pistons @ Miami Heat,MODEL_NBA_REST,Miami Heat,+106,5.00%,1.00,MODEL,+100,
2026-03-08,Minnesota @ Colorado,MODEL_NHL,Colorado,-163,51.00%,1.00,MODEL,,
2026-03-08,Chicago @ Dallas,MODEL_NHL,Dallas,-250,81.00%,1.00,MODEL,,
2026-03-08,St. Louis @ Anaheim,MODEL_NHL,Anaheim,-169,44.00%,1.00,MODEL,,
2026-03-08,Detroit Pistons @ Miami Heat,MODEL_NBA_REST,Miami Heat,+102,5.00%,1.00,MODEL,,
2026-03-08,Minnesota @ Colorado,MODEL_NHL,Colorado,-178,51.00%,1.00,MODEL,,
2026-03-08,Chicago @ Dallas,MODEL_NHL,Dallas,-270,81.00%,1.00,MODEL,,
2026-03-08,St. Louis @ Anaheim,MODEL_NHL,Anaheim,-175,44.00%,1.00,MODEL,,
2026-03-08,Detroit Pistons @ Miami Heat,MODEL_NBA_REST,Miami Heat,+110,5.00%,1.00,MODEL,,
2026-03-08,Minnesota @ Colorado,MODEL_NHL,Colorado,-178,51.00%,1.00,MODEL,,
2026-03-08,Chicago @ Dallas,MODEL_NHL,Dallas,-277,81.00%,1.00,MODEL,,
2026-03-08,St. Louis @ Anaheim,MODEL_NHL,Anaheim,-175,44.00%,1.00,MODEL,,
2026-03-09,Detroit Pistons @ Miami Heat,SPREADS,Detroit Pistons 20.5,-105,6.93%,1.82,-121,,
2026-03-09,Washington Wizards @ New Orleans Pelicans,H2H,New Orleans Pelicans,-500,3.09%,3.87,-609,,
2026-03-09,Washington Wizards @ New Orleans Pelicans,SPREADS,New Orleans Pelicans -9.5,+102,7.90%,1.94,-114,,
2026-03-09,Orlando Magic @ Milwaukee Bucks,H2H,Milwaukee Bucks,+220,11.83%,1.34,+186,,
2026-03-09,Orlando Magic @ Milwaukee Bucks,H2H,Milwaukee Bucks,+210,8.33%,0.99,+186,,
2026-03-09,Houston Rockets @ San Antonio Spurs,H2H,Houston Rockets,+220,15.75%,1.79,+176,,
2026-03-09,Houston Rockets @ San Antonio Spurs,H2H,Houston Rockets,+210,12.14%,1.44,+176,,
2026-03-09,Chicago Bulls @ Sacramento Kings,H2H,Chicago Bulls,-161,4.38%,1.77,-181,,
2026-03-09,Chicago Bulls @ Sacramento Kings,SPREADS,Chicago Bulls -3.5,-113,3.64%,1.04,-122,,
2026-03-09,Chicago Bulls @ Sacramento Kings,SPREADS,Chicago Bulls -3.5,-114,3.09%,0.89,-122,,
2026-03-09,Indiana Pacers @ Portland Trail Blazers,H2H,Indiana Pacers,+330,3.09%,0.23,+317,,
2026-03-09,Indiana Pacers @ Portland Trail Blazers,H2H,Portland Trail Blazers,-400,3.09%,3.09,-470,,
2026-03-09,Charlotte Hornets @ Phoenix Suns,H2H,Charlotte Hornets,-188,3.09%,1.46,-206,,
2026-03-09,Charlotte Hornets @ Phoenix Suns,SPREADS,Charlotte Hornets -4.5,-109,3.09%,0.85,-117,,
2026-03-09,Charlotte Hornets @ Phoenix Suns,SPREADS,Charlotte Hornets -4.5,-107,4.17%,1.12,-117,,
2026-03-09,Chicago Blackhawks @ Dallas Stars,H2H,Dallas Stars,-1666,4.07%,5.00,-5405,,
2026-03-09,Chicago Blackhawks @ Dallas Stars,SPREADS,Dallas Stars -1.5,-107,5.83%,1.57,-121,,
2026-03-09,Tampa Bay Lightning @ Buffalo Sabres,H2H,Tampa Bay Lightning,-109,7.60%,2.09,-129,,
2026-03-09,Tampa Bay Lightning @ Buffalo Sabres,H2H,Tampa Bay Lightning,-117,4.22%,1.24,-129,,
2026-03-09,Tampa Bay Lightning @ Buffalo Sabres,TOTALS,Under 10.5,+124,4.49%,0.91,+114,,
2026-03-09,Tampa Bay Lightning @ Buffalo Sabres,TOTALS,Under 10.5,+125,5.43%,1.08,+114,,
2026-03-09,Detroit Red Wings @ New Jersey Devils,H2H,New Jersey Devils,+520,9.07%,0.44,+468,,
2026-03-09,Detroit Red Wings @ New Jersey Devils,H2H,New Jersey Devils,+520,9.07%,0.44,+468,,
2026-03-09,Detroit Red Wings @ New Jersey Devils,SPREADS,Detroit Red Wings -2.5,+104,3.60%,0.87,-103,,
2026-03-09,Detroit Red Wings @ New Jersey Devils,SPREADS,New Jersey Devils 2.5,-120,4.23%,1.27,-132,,
2026-03-09,St Louis Blues @ Anaheim Ducks,H2H,St Louis Blues,+154,6.00%,0.97,+140,,
2026-03-09,St Louis Blues @ Anaheim Ducks,SPREADS,St Louis Blues 1.5,-166,3.09%,1.29,-181,,
2026-03-09,St Louis Blues @ Anaheim Ducks,SPREADS,St Louis Blues 1.5,-166,3.09%,1.29,-181,,
2026-03-09,St Louis Blues @ Anaheim Ducks,TOTALS,Over 6.5,+102,4.65%,1.14,-107,,
2026-03-09,Edmonton Oilers @ Vegas Golden Knights,SPREADS,Edmonton Oilers 1.5,-250,3.83%,2.40,-287,,
2026-03-09,Los Angeles Kings @ Columbus Blue Jackets,H2H,Columbus Blue Jackets,-129,3.68%,1.19,-141,,
2026-03-09,Los Angeles Kings @ Columbus Blue Jackets,SPREADS,Columbus Blue Jackets -1.5,+204,8.43%,1.03,+181,,
2026-03-09,Los Angeles Kings @ Columbus Blue Jackets,SPREADS,Los Angeles Kings 1.5,-227,3.09%,1.76,-252,,
2026-03-09,Calgary Flames @ Washington Capitals,SPREADS,Calgary Flames 1.5,-147,6.91%,2.54,-175,,
2026-03-09,New York Rangers @ Philadelphia Flyers,H2H,New York Rangers,+129,3.09%,0.59,+123,,
2026-03-09,New York Rangers @ Philadelphia Flyers,SPREADS,New York Rangers 1.5,-192,4.47%,2.15,-219,,
2026-03-09,New York Rangers @ Philadelphia Flyers,TOTALS,Over 5.5,-114,3.09%,0.89,-122,,
2026-03-09,New York Rangers @ Philadelphia Flyers,TOTALS,Under 5.5,+100,3.09%,0.77,-106,,
2026-03-09,Ottawa Senators @ Vancouver Canucks,H2H,Ottawa Senators,-217,3.09%,1.68,-240,,
2026-03-09,Ottawa Senators @ Vancouver Canucks,H2H,Ottawa Senators,-212,3.80%,2.02,-240,,
2026-03-09,Ottawa Senators @ Vancouver Canucks,SPREADS,Ottawa Senators -1.5,+118,4.05%,0.86,+109,,
2026-03-09,Ottawa Senators @ Vancouver Canucks,SPREADS,Vancouver Canucks 1.5,-129,4.27%,1.39,-143,,
2026-03-09,Brighton and Hove Albion @ Sunderland,H2H,Brighton and Hove Albion,+125,3.55%,0.71,+117,,
2026-03-09,Everton @ Arsenal,H2H,Draw,+409,3.91%,0.24,+390,,
2026-03-09,Aston Villa @ Manchester United,H2H,Aston Villa,+340,7.49%,0.55,+309,,
2026-03-09,Aston Villa @ Manchester United,H2H,Manchester United,-129,4.27%,1.39,-143,,
2026-03-09,Leeds United @ Crystal Palace,H2H,Draw,+240,4.63%,0.48,+224,,
2026-03-09,Fulham @ Nottingham Forest,H2H,Draw,+250,4.89%,0.49,+233,,
2026-03-09,Fulham @ Nottingham Forest,H2H,Draw,+250,4.89%,0.49,+233,,
2026-03-09,Tottenham Hotspur @ Liverpool,H2H,Liverpool,-303,3.87%,2.93,-356,,
2026-03-09,Tottenham Hotspur @ Liverpool,H2H,Tottenham Hotspur,+700,3.09%,0.11,+676,,
2026-03-09,Wolverhampton Wanderers @ Brentford,H2H,Brentford,-178,3.09%,1.38,-194,,
2026-03-09,Manchester United @ Bournemouth,H2H,Manchester United,+114,3.57%,0.78,+107,,
2026-03-09,Manchester United @ Bournemouth,H2H,Draw,+300,7.95%,0.66,+270,,
2026-03-09,Liverpool @ Brighton and Hove Albion,H2H,Draw,+290,7.79%,0.67,+261,,
2026-03-09,Burnley @ Fulham,H2H,Burnley,+550,11.68%,0.53,+482,,
2026-03-09,Burnley @ Fulham,H2H,Draw,+320,5.61%,0.44,+297,,
2026-03-09,Chelsea @ Everton,H2H,Draw,+290,6.08%,0.52,+267,,
2026-03-09,Brentford @ Leeds United,H2H,Leeds United,+154,5.15%,0.83,+142,,
